feature,importance
max_y_R_foot_1,-0.00038535645472057565
max_z_R_foot_1,0.0
max_x_R_foot_2,0.0
max_y_R_foot_2,-0.00019267822736027674
max_z_R_foot_2,0.0
max_x_R_foot_3,-0.0005298651252408137
max_y_R_foot_3,-0.00043352601156065873
max_z_R_foot_3,-0.00014450867052021588
max_x_R_foot_4,0.0003853564547206645
max_y_R_foot_4,0.0
max_z_R_foot_4,-4.8169556840071956e-05
max_x_R_shank_1,0.0003371868978805814
max_y_R_shank_1,-0.0004816955684007196
max_z_R_shank_1,0.0
max_x_R_shank_2,-0.0004816955684007196
max_y_R_shank_2,-4.816955684004976e-05
max_z_R_shank_2,-0.00014450867052021588
max_x_R_shank_3,-0.00019267822736028782
max_y_R_shank_3,0.0
max_z_R_shank_3,0.0
max_x_R_shank_4,0.0004335260115607475
max_y_R_shank_4,0.0
max_z_R_shank_4,0.0
max_x_R_thigh_1,0.0
max_y_R_thigh_1,0.0
max_z_R_thigh_1,0.0
max_x_R_thigh_2,0.0004335260115607475
max_y_R_thigh_2,0.0
max_z_R_thigh_2,-0.00028901734104043176
max_x_R_thigh_3,9.633911368016612e-05
max_y_R_thigh_3,-0.0003371868978805148
max_z_R_thigh_3,0.0
max_x_R_thigh_4,-4.8169556840071956e-05
max_y_R_thigh_4,-0.00038535645472057565
max_z_R_thigh_4,0.0
max_x_pelvis_1,0.00038535645472063116
max_y_pelvis_1,0.0
max_z_pelvis_1,0.0
max_x_pelvis_2,0.0005780346820809523
max_y_pelvis_2,0.0
max_z_pelvis_2,0.0
max_x_pelvis_3,0.0004816955684007973
max_y_pelvis_3,0.0002890173410404984
max_z_pelvis_3,0.0
max_x_pelvis_4,0.00038535645472064227
max_y_pelvis_4,0.0
max_z_pelvis_4,0.0
dmean_x_L_foot_1,-0.0002408477842003598
dmean_y_L_foot_1,-9.633911368014391e-05
dmean_z_L_foot_1,-9.633911368013281e-05
dmean_x_L_foot_2,-0.0006743737957610518
dmean_y_L_foot_2,4.816955684008306e-05
dmean_z_L_foot_2,-4.8169556840071956e-05
dmean_x_L_foot_3,-0.00028901734104043176
dmean_y_L_foot_3,-0.0004335260115606476
dmean_z_L_foot_3,0.0
dmean_x_L_foot_4,0.0
dmean_y_L_foot_4,-0.0005780346820808858
dmean_z_L_foot_4,-0.00014450867052021588
dmean_x_L_shank_1,9.633911368016612e-05
dmean_y_L_shank_1,1.1102230246251566e-17
dmean_z_L_shank_1,0.0
dmean_x_L_shank_2,0.0
dmean_y_L_shank_2,0.0
dmean_z_L_shank_2,-0.00019267822736028782
dmean_x_L_shank_3,-0.00038535645472057565
dmean_y_L_shank_3,-0.0004335260115606476
dmean_z_L_shank_3,-0.00019267822736028782
dmean_x_L_shank_4,-0.00038535645472057565
dmean_y_L_shank_4,-4.8169556840071956e-05
dmean_z_L_shank_4,4.816955684008306e-05
dmean_x_L_thigh_1,-0.000770712909441218
dmean_y_L_thigh_1,-9.633911368014391e-05
dmean_z_L_thigh_1,0.0
dmean_x_L_thigh_2,-0.000770712909441218
dmean_y_L_thigh_2,-0.0004816955684007307
dmean_z_L_thigh_2,-9.633911368014391e-05
dmean_x_L_thigh_3,-0.0008188824662813011
dmean_y_L_thigh_3,0.0
dmean_z_L_thigh_3,-9.633911368014391e-05
dmean_x_L_thigh_4,-0.00038535645472057565
dmean_y_L_thigh_4,-0.0004816955684007196
dmean_z_L_thigh_4,-0.00038535645472057565
dmean_x_R_foot_1,0.0
dmean_y_R_foot_1,0.0
dmean_z_R_foot_1,4.816955684008306e-05
dmean_x_R_foot_2,-0.0002408477842003598
dmean_y_R_foot_2,-4.8169556840071956e-05
dmean_z_R_foot_2,-0.0002890173410404429
dmean_x_R_foot_3,0.0
dmean_y_R_foot_3,0.0
dmean_z_R_foot_3,-0.00028901734104043176
dmean_x_R_foot_4,-0.0004816955684007196
dmean_y_R_foot_4,-0.0003853564547205979
dmean_z_R_foot_4,0.00019267822736033225
dmean_x_R_shank_1,-0.00028901734104043176
dmean_y_R_shank_1,-0.00019267822736028782
dmean_z_R_shank_1,-0.00048169556840075287
dmean_x_R_shank_2,0.0
dmean_y_R_shank_2,0.0
dmean_z_R_shank_2,-4.8169556840071956e-05
dmean_x_R_shank_3,0.0
dmean_y_R_shank_3,4.816955684008306e-05
dmean_z_R_shank_3,2.2204460492503132e-17
dmean_x_R_shank_4,-0.00024084778420034868
dmean_y_R_shank_4,-4.8169556840071956e-05
dmean_z_R_shank_4,9.633911368016612e-05
dmean_x_R_thigh_1,-0.000867052023121384
dmean_y_R_thigh_1,0.0
dmean_z_R_thigh_1,0.0
dmean_x_R_thigh_2,-0.00033718689788050373
dmean_y_R_thigh_2,0.00019267822736033225
dmean_z_R_thigh_2,0.0
dmean_x_R_thigh_3,-0.000867052023121384
dmean_y_R_thigh_3,-0.00014450867052021588
dmean_z_R_thigh_3,-0.00028901734104043176
dmean_x_R_thigh_4,-0.00038535645472057565
dmean_y_R_thigh_4,-0.00014450867052021588
dmean_z_R_thigh_4,0.0
dmean_x_pelvis_1,-0.00033718689788050373
dmean_y_pelvis_1,-0.00019267822736028782
dmean_z_pelvis_1,-0.00028901734104043176
dmean_x_pelvis_2,-0.00014450867052021588
dmean_y_pelvis_2,4.816955684009416e-05
dmean_z_pelvis_2,4.816955684008306e-05
dmean_x_pelvis_3,0.0
dmean_y_pelvis_3,-0.00028901734104042065
dmean_z_pelvis_3,-0.0004816955684007196
dmean_x_pelvis_4,-0.00038535645472057565
dmean_y_pelvis_4,-0.00048169556840075287
dmean_z_pelvis_4,4.816955684008306e-05
dstd_x_L_foot_1,4.816955684008306e-05
dstd_y_L_foot_1,-0.00028901734104043176
dstd_z_L_foot_1,2.2204460492503132e-17
dstd_x_L_foot_2,0.0
dstd_y_L_foot_2,0.00019267822736034334
dstd_z_L_foot_2,0.0001445086705202492
dstd_x_L_foot_3,-0.00028901734104043176
dstd_y_L_foot_3,-0.00043352601156068096
dstd_z_L_foot_3,3.3306690738754695e-17
dstd_x_L_foot_4,4.816955684008306e-05
dstd_y_L_foot_4,0.0
dstd_z_L_foot_4,9.633911368016612e-05
dstd_x_L_shank_1,-0.0006262042389209799
dstd_y_L_shank_1,0.0007707129094412623
dstd_z_L_shank_1,-9.633911368013281e-05
dstd_x_L_shank_2,0.0
dstd_y_L_shank_2,-0.00028901734104043176
dstd_z_L_shank_2,-0.00014450867052020477
dstd_x_L_shank_3,0.0
